Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,2.66798353089548,2.34953385169727,2.09359938952392,3.58142581460447,3.55633124664169,3.37572214708479,1.26716818922992,1.65155392186669,0.941470920725337,2.73512022241023,2.24406532463878,3.45404183614122,3.72741530093519,1.4604236757386,-3.76457817791677,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,1.98943716230463,2.25857243250671,2.42538536088061,1.51738858303159,-6.45396846689127,4.55685091308877,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,2.38475727961249,1.32145093041325,3.79365762950188,1.96180827198427,3.54274346363066,3.71667938420875,1.09961888777849,1.70688458453354,1.03798254902905,3.5712043433582,2.32173705381926,2.55234994366351,3.67688113594973,0.446928735275904,-2.02074306169408,2.86429270764155,1.69451389861332,0.739217283058679,0.459242192907709,1.57853314322614,2.04145900919961,1.26668640902095,1.6195802783878,1.79294519302076,2.24085824041289,-5.36138663334856,6.13386596356445,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,2.86123277149034,5.20539406702115,-14.1153817404634,3.78912064249232,-8.39609066658392,4.58722478248549,3.82370336276668,5.87193143276457,5.23715521529633,6.51042534060579,7.05634894025069,6.80258922593249,6.65438682479358,6.12955970373739,-3.3471420954691,1.54180144307578,2.10120575009232,0.754930385981893,-0.56049396557782,0.96686903234496,3.42805491352132,3.03982527630795,2.76217095961262,2.68476058693781,4.03814220572653,-3.95861459810695,7.63460971569079,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,..,6.25318791776093,6.17318891147953,2.32514856233495,-0.746153536167569,2.86406694721973,3.07472762453,5.76353514822921,5.56373593542692,4.15414417545865,4.26286293442423,4.88693807069566,5.00111243007304,2.00186402121545,-7.19344475945697,-1.22377948198006,-0.0866137790411159,-2.33166164485877,-0.397827665127963,-0.429360585931065,2.52229227745192,3.55935948219432,3.41246782244569,2.80067619923238,3.42100553041595,-8.58034302106218,13.0722049215979,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,8.36246930466569,1.24858157644654,2.64089463952175,6.11084674642566,4.99796042248005,5.96531031488554,3.95256054086292,3.72295649883057,2.6232861229859,5.02634392575987,4.85300383835666,4.71382866563106,5.09806845261184,3.6468119905756,-2.01526235906867,2.28354499702917,0.416712762832276,-3.44738142393619,-6.58748225683094,-1.77606191187711,3.41892318781653,6.57358020185954,5.73347613913472,5.64785820050915,5.52942854943188,-4.37247418575215,6.63892696813528,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czechia,CZE,6.50081352909872,4.26541664546846,-0.518331043362068,-0.356566596194511,1.38414894342924,4.00102863502944,3.04297656257042,1.56985532822202,3.58368845880418,4.81426100126959,6.60161752988951,6.76693268125427,5.57033885921025,2.68641195092762,-4.65733109171755,2.43490215904518,1.76035962445222,-0.785004299003617,-0.0459036735515213,2.26210289708078,5.38838083815307,2.5372845203138,5.16872430413071,3.22008806955105,3.02987866345279,-5.50296796125089,3.54422344266294,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,3.0275872672533,2.90009976874006,3.26089015774798,2.21815874223761,2.94802216063901,3.74686259540198,0.823152998014436,0.46634557149423,0.390058556485101,2.66821926741747,2.33664130821947,3.9130079783106,0.909238928302372,-0.512016744849106,-4.90654772965155,1.87099114718497,1.33677776690328,0.226499791802965,0.933340972371226,1.61939381103033,2.34259110757047,3.24595698524399,2.82173634129026,1.98953731496432,1.49348695853648,-1.99460756850381,4.85570758570233,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,..,4.94301449126702,13.0500147441833,4.33982551026151,-0.425025156762118,10.0876344406951,6.00367425106573,6.7713679304362,7.60026518508707,6.80400777050136,9.52642697162088,9.76558336997708,7.57914052046765,-5.13200095768519,-14.6290550324223,2.44426511799784,7.26308458128695,3.22820049358981,1.45842863615992,3.01136658651455,1.85302004629342,3.15556481438308,5.79204467466494,3.78420084952826,3.73970668161645,-0.55100125774716,8.01346292400842,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,2.10669525325974,1.41299367250002,2.33629652937944,3.58865942535427,3.42137379882455,3.92366922704063,1.98372141863292,1.13553148214601,0.823160756684118,2.82975292869891,1.66321998030079,2.44932360111885,2.42473624337305,0.254945960124005,-2.87331382849631,1.94943762312663,2.19270063266654,0.313134751077172,0.576326674771792,0.956183052371557,1.1129123405747,1.09546440372048,2.29141999417021,1.86506607081999,1.84297181445896,-7.78458649167871,6.81658913649873,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,4.21686746987953,3.66717982978477,6.33379565418399,5.45718050065875,4.37957572274557,5.7733624584817,2.61001912392074,1.70714896198065,2.00378420285061,3.99209129032087,2.77985055556123,4.02740965802573,5.29933650739021,0.783995060876521,-8.0744474323113,3.18595865407703,2.54766483842627,-1.39754572817782,-0.901696316194844,-0.364908156882066,0.543659211765487,2.81145776663433,3.19240962968416,1.1397180134305,1.22474892206223,-2.2051393728223,2.97322935640895,..
